stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
72hpf,0,0,0,0.28,0,0.56,0,0.56
21Day,0.37,0,0,0.74,0.74,0,0.37,0
22Month,0,0.27,0.14,0,0,0.14,0,0
