stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0.28,0,0,0,0,0,0,0,0,1.13,0,0,0.28,0,0,0,0,5.64,4.51,0,0,0.28,0,0.28,0,0,0,0
21Day,0,2.59,0,0,0,0,0,0,0,0,0,0,0.37,0,0.74,0,0,0,0,2.59,0.37,0,0,1.48,0.37,0.74,0.37,0,0.37,0
3Month,0.1,1.77,0,0.1,0.31,0.31,0,0,5.3,0.73,0.83,0.1,1.25,0.94,0.42,0.1,0,0.42,0.1,0.1,0,0.21,0,0.1,0.62,19.97,0.1,0.1,2.6,0.21
22Month,0.41,1.23,0,0.27,0,1.23,0.14,0,18.45,0.41,1.5,0,0,0.41,1.91,0.14,0.55,0,0,0.27,0,0,0.27,0,0,6.97,0.14,0.14,0.14,0.41
