stage,Cardiomyocyte,Epithelial_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,10,0,0,1,0,0,2,0
72hpf,0.28,0,0,0,0,0,0,0.56,0.28,0.28
21Day,0,0.37,0,0,0.37,0,2.22,0,0,0
3Month,0,0.42,0,0,0,0,0,0,0,0
22Month,0,0,0,0.27,0,0,0,0,0,0
