stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0.28,38.61,3.38,0.28,0.56,0,0,0.28,0,0,0
21Day,0,0,0,0.74,0,0,0,0,0,0,0,0,0.37,0,0.37,0.37,0,12.95,1.11,0,0,0,0.37,0.37,0,0,0.37
3Month,0,0,0.83,0,0.21,0.42,0.21,2.7,0.31,0.1,0.83,0.21,0,0.31,0.62,0,0.1,0,0,0,0,0.21,10.51,0.1,0.21,21.64,0.31
22Month,0.27,0.14,0.14,0,0.14,0,0.68,5.6,0.27,0.27,0.68,0,0,1.5,0.14,0.14,0,0.27,0,0,0,0,0.55,0,0.14,0,0.14
