stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,13,0,0,0,0,2,109,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.97,1.13,3.38,0.56,1.41,0,0,0,0,0,0,0,0,0.28,0,4.51,7.05,0.56,6.2,0,0.28,0.28,0.28,153.33,38.61,0,0,8.46,0,0,9.02,0.85,0.56,0,0,0
21Day,1.85,0,11.1,0,1.48,0,0,0,0,0,0,0.37,0,6.29,0.37,0.37,1.85,0,8.88,0,0,0.74,0,42.55,10.73,0,0.74,1.85,3.33,0,2.22,1.48,0,0,0,2.59
3Month,0.1,0.1,9.15,0.1,0,0.1,0.1,0.21,0.73,0,0,3.54,1.25,0.73,0.62,0.42,1.87,1.25,2.18,0.21,0,0.52,0,0.21,0.21,0.21,0.73,0,0.31,1.04,0,0,0,0.31,0.52,6.14
22Month,0.14,0.14,1.64,0,0,0.27,0,0,1.37,0.96,0,18.04,0.96,2.19,0.55,0.14,0.55,1.91,1.91,0.14,0.14,0,0,0.27,0.14,0,1.91,0,0.14,0.68,0.14,0,0.14,0.14,0,2.19
