stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.56,0.85,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,0,1.69,0,0,0,0,27.34,9.3,0.28,0,1.69,0,0,0.56,0,0.56,0.56,0,0,0
21Day,0.37,1.85,0,4.44,1.48,0.74,0,0,0,0,0,0,0,0,0.74,1.11,0,1.11,0.74,3.7,0,0,1.11,0,4.81,2.96,0,0.74,1.11,0.37,0.37,1.85,0.37,0.37,0.37,0,0,0.37
3Month,0.21,1.66,0.62,10.19,0.21,0,0.42,0.1,1.56,2.39,0.1,0,28.6,1.56,0.21,9.57,3.54,1.66,2.29,3.02,0.62,0,3.64,3.85,1.46,0.1,1.25,0.1,0.73,0.62,8.95,0.42,0,0,0.1,0.52,1.25,4.89
22Month,0,1.91,1.09,7.65,0.14,0,0.68,0.14,3.42,6.01,25.14,0,41.81,2.32,0.82,10.52,0.41,0.68,6.42,2.6,0.14,1.91,1.09,0.27,0.27,0.27,2.46,0.82,0.27,0.14,1.23,1.09,0.96,0,0.14,0.27,0,2.87
