stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,1.13,0,0,0,0,15.5,0.56,0,0,1.69,0,0,0,0,0
21Day,0,0,1.11,0.37,1.11,0,0,0,0,0,0,0.37,0,0.37,0.37,4.44,0,0,0.37,0,13.69,1.85,0,0,1.11,0.37,0,0,0.37,0
3Month,0,0.1,0.83,0,0,0,0.31,0,1.87,0.52,0.21,0.31,0.1,0.21,0,0.52,0.21,0.1,0,0.31,0,0,0.1,0,0,0.1,3.43,0.1,0,4.26
22Month,0,0.14,0.41,0,0,0.41,0.41,0.14,5.47,0,0,0.82,0,0.27,0,0.27,0,0.14,0,0,0.27,0.14,0.14,0.27,0,0,0.27,0.14,0,0
