stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,5,0,0,0,0,0,0,0,2,0,2,5,0,0,3,28,0,0,1,0,0,0,0,1,0,0,0
72hpf,0.85,0.28,1.13,1.13,0.28,0.28,0.28,0,0,0,0.85,3.38,0.28,1.41,0.28,0.28,46.79,5.64,0,4.51,12.12,0,0,2.54,0.28,0.28,0,0,0
21Day,0.74,0,5.92,0,0.37,1.11,0,0,0.74,0,0.74,2.96,0.37,4.07,1.48,0,14.43,2.22,0.37,3.33,6.29,0.74,0,0.37,0,0,0,0,1.85
3Month,0,0,0.21,0,0,0,0.1,0.83,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0.31,0,0,0,0.31,0.1,0.1
22Month,0,0.14,0,0,0,0,0,1.37,0,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.14,0,0.14
