stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,0,0.85,6.76,1.41,0.28,1.41,0,0.28,0.28,0
21Day,1.11,0,0.37,0.37,0,0,0,0,0,2.96,4.44,0.37,0,1.11,0.74,0,0,0
3Month,0,0.42,0,0,0.21,0,0.31,0,0.21,0.21,0,0,0,0,0,0,0,0.1
22Month,0,0.14,0,0,0,0.14,0.41,0,0,0,0,0,0,0,0,0,0,0
