stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,11,1,8,0,0,0,0,0,0,0,1,2,0,24,0,1,6,77,0,0,0,0,0,0,0,0,0,0
72hpf,5.07,0,4.23,0.28,1.41,0,0,0,0,0,0.56,13.81,1.13,14.94,1.69,0,183.2,34.67,0,0.28,8.46,0,0,8.17,0.28,0,0,0
21Day,2.96,0.37,4.44,0,1.48,0,0,0,0.74,0,0,2.59,0,16.65,4.44,0,14.8,4.44,0,0,1.11,0.37,0,0.74,0.37,0.74,0.37,0
3Month,0,0,2.7,0,0,0.1,0.52,0.21,0,0.62,0,0.94,0.21,1.14,0.52,0,0,0,0.21,0.1,0,0,0.1,0,0,0,0,0.21
22Month,0,0,0.14,0,0,0.14,0.41,0,0,0,0,0,0.14,0.27,0.14,0,0,0,0.27,0.14,0,0,0,0,0,0,0,0
