stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,18.32,0.85,0,0,0.56,0,0,0,0,0,0
21Day,0,0,0,0.37,1.11,0,0,0.37,0,0,0,0,0,0,0,0,9.99,0.74,0,0,0,0.37,0,1.11,0,0,0
3Month,0,0.1,0,0.73,0,0.21,0.1,2.81,0.1,0.31,0.1,0.42,0.42,0,0,0,0.1,0,0,0.1,0,0,0.1,0.1,0.1,2.81,0.1
22Month,0.14,0.14,0.14,0,0,0.14,0.82,6.29,0,0.27,0,0.41,0.41,0.14,0.14,0.14,0.55,0,0.14,0.14,0,0,0.14,0,0,0,0.14
