stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,3.1,1.41,0.28,0,0,0.28,0
21Day,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.74,0.37,0.37,0,0,0,0
3Month,0.83,0,0.1,0.31,0.21,1.04,0.31,0,0.31,0.1,0.1,0.52,0.31,0.1,0.1,0.21,0,0,0.1,0.1,0.1,0.1
22Month,0,0,0,0,0,0.82,0.14,0.14,0.14,0,0,0.27,0.14,0,0,0,0,0,0,0,0.14,0
