stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Pancreatic_cell
72hpf,0,0,0.28,0.56,0
21Day,0.74,0,0,0,0
3Month,0,0.31,0,0,0.1
