stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.13,0.56,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.56,0.56,0,0,0,0,9.3,3.1,0.28,0,0.56,0,0,0.85,0,0,0,0
21Day,0,0,12.95,0,0.74,0,0.37,0,0,0,0.37,1.48,0,1.11,0.37,0,2.96,0.74,0.74,0,0,0,0,5.18,2.59,1.11,0,0.37,1.11,0,0,0.74,0,0,1.48
3Month,0,0,21.84,0.21,0,0,0,0.1,0.42,0.94,0,18.41,0.21,0.1,2.08,0.21,11.13,2.81,0.94,0.1,0,0,0.1,0,0,0.1,0,0,0.42,0.1,0,0,0.1,0.21,1.56
22Month,0.14,0.41,5.19,0,0,0.14,0,0,0.41,1.23,3.14,29.52,0.27,0.14,2.05,0,2.19,2.05,0.82,0,0.27,0.14,0,0.41,0.14,0,0.27,0.14,0.14,0.41,0,0,0.14,0,0.68
