stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell
24hpf,1,19,1,0,0,0,0,1,0
72hpf,0,2.25,0,0,0,0,0,0,0
21Day,0,1.85,0,0.37,0,0,0.37,0,0
3Month,0,0.31,0,0,0.1,0.1,0,0,0.31
