stage,Cardiomyocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,1,0,0,1,0,0,0
72hpf,0,0,0,0,3.1,0,0.28,0,0,0,0
21Day,0.37,0,0,0,1.48,0,0.37,0,0,0,0
3Month,0,0.1,0.1,0,0,0.1,0,0,0,0.1,0.1
22Month,0,1.09,0,0.14,0,0,0,0,0.14,0,0
