stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.56,0,0,0,0,0,0.28,0.56,0.28,1.69,0,0,0,20.86,0.56,0,0.56,1.97,0,0,0.28,0,0.56,0
21Day,1.11,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0,0,1.11,5.92,0.37,0.74,0.37,0,0.37,0,0.37,0.74,0,0.37
3Month,0,0,0.42,0,0,0,2.08,0.1,0.42,0,0.31,0.1,0.62,0.31,0,0,0.1,0,0,0,0.42,0.42,0.1,0.1,0,0,0.62
22Month,0.14,0.27,0.41,0,0.55,0.27,4.24,0,0.27,0,0,0.27,0.27,0,0.14,0.27,0.14,0,0,0,0.14,0,0,0.14,0,0,0
