stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,158,4,4,0,0,1,11,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,14.37,0.56,2.25,0,0,0,0,0,0,0.85,325.82,0,2.54,0,0.28,18.6,8.74,0.28,3.38,0,0,1.13,0,0.56,0,0
21Day,0.37,0,0,22.57,0,1.11,0,0,0.74,0,1.85,0.74,0.37,76.96,0.37,1.11,0.37,0,2.96,0.74,0,0.74,1.11,0,0,0.37,0,0,0
3Month,0,0.21,0.1,26.94,0,0,0.1,0.31,1.14,0.31,0,0.52,0.21,0.73,0.42,0,0,0,0.1,0,0,0,0.1,0.31,0,0,0,0.1,0.21
22Month,0,0,0,1.37,0,0,0,0.14,0.55,0,0.27,0,0,0,0.27,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0
