stage,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0.28,8.17,0,0,0,0
21Day,0,0.37,0,0.37,1.85,0,0.37,0.37,0
3Month,0.1,0,0.1,0,0,0,0.1,0,0.21
22Month,0.41,0,0,0,0.14,0,0.27,0,0
