stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,3,8,0,0,0,0,0,2,2,1,11,0,0,7,97,0,5,0,0,0,0,1,0,0,0
72hpf,0,0.56,1.13,0.56,0,0,0,0,0.56,0.85,0,1.69,0.85,0.28,4.79,8.17,0,1.69,0.28,0,1.41,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0.37,0,0,0,0,1.85,0,0,0.74,0.74,0,0,0,0,0.37,0.74,0,0,0,0
3Month,0,0,1.14,0,0,0.1,0.52,0.52,0,0.31,0.1,0.31,0,0,0,0,0.1,0,0,2.29,0,0,0,0.1,0.21,0.1
22Month,0,0,0,0,0.14,0.14,0.55,0.14,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0
