stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Retinal_pigment_epithelial_cell
21Day,0,0.37,0,0,0,0.74,0,0.37,0.37,0.37
3Month,0.1,0.31,0.31,0,0.42,0,0,0,0,0
22Month,0,0,0.68,0.14,0,0,0.14,0.14,0,0
