stage,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell__caudal_fin_,Primordial_germ_cell,T_cell
3Month,0,0,0,0.1,0.1,0,0.52
22Month,0.14,0.14,0.14,0,0,0.55,0.96
