stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.37,0,0,0.37,0.37,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,5.92
3Month,0.1,0.31,0.42,1.56,0.52,0.1,0.1,0.31,0,0,2.08,1.46,0.1,0.62,0.31,0.31,7.49,1.87,0.21,0.1,0.62,0,0.21,0.1,0.31,0,0.1,0.31,1.98,0.1,0.1,0.31,1.04,61.68
22Month,0.14,0,0,0.82,0,0,0.27,1.37,0.14,0,4.1,0.68,0.55,0.27,0.27,0,9.57,0.68,0,0,0,0.14,0,0,0.41,0.41,0,0,2.73,0,0.14,0,0,27.33
