stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,2,21,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,0.56,0.28,0,0,0,0.28,0,0.56,3.38,0,5.07,0.28,25.37,14.94,0,0,3.1,0,0,1.69,0,0,0,0,0
21Day,1.48,0.37,0.37,4.07,2.59,0.37,0,0,2.59,0,0.74,1.11,0.37,5.55,0,5.18,4.07,0.37,0.37,1.48,0.74,0.74,0.37,0.37,0.37,0.37,0,1.11
3Month,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1
22Month,0,0,0,0.14,0,0,0.14,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
