stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,11,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.56,0.56,0,0,0,0,0.28,0,0.56,0.85,0,0.28,37.2,3.38,0,0.56,0,0,0.56,0.28,0.28,1.13
21Day,0,0,0.37,0.37,0,0,0,0,0,0.37,0,0,0,0,0,0,10.73,0.74,0.74,0,0,0,0,0,0,0.37
3Month,0,0,0.31,0.21,0,0,0.1,0.31,0.1,1.25,0,0.1,0,0.1,0.1,0.1,0.42,0,0.42,0,0.1,0.52,0,0,0,0
22Month,0,0,0.14,0.27,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0.14,0,0,0,0,0.27,0,0,0,0
