stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0.28,0.85,0,0,0.28,0,0,0,0,0
21Day,0,0,0.74,0.74,0,0,0,0,0,0.37,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.1,1.66,0.21,0.1,0.1,0.31,2.7,0.31,0.1,0.94,0.1,0.62,1.04,0.31,0.1,0.21,0.21,0,0.1,0.1,0.21,0,0.52,22.68,0.31,90.6,0.21
22Month,0,0,0,0,0,0,0.14,0.14,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.14,0
