stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,0,0,0.37,0,1.48,0.37,0,0,0,0,0,0,0,0
3Month,0,0.31,3.95,0.1,0.1,1.66,0.1,7.07,0.62,0,9.47,0.62,0.42,1.04,0.42,0.52,0.52,0,0.21,0.31,0.62,0.73
22Month,0,0.55,0.82,0,0.14,0.82,0.96,9.02,0.14,0.14,8.47,0,0,0.55,0.14,0,0,0,0.14,0,0.14,0.14
