stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,1.13,0,0,0.28,0,0.56,0.56,0,0,0,2.25,0,0,0,0,0,0,0,0
21Day,0,0,0,1.48,0,0.37,0,0,0,0,4.44,0,0,0.74,0,0,1.11,0.37,6.29,0,0,0.37,0,0,0.74,0,0,0,2.96,0,0,0,0.74,0,0,0,0.37
3Month,0.21,0.21,0.31,8.22,0,0,0,0,0.1,0.73,7.7,3.74,1.04,0.21,1.25,0.1,9.99,0.62,5.82,0.83,0,0.94,0,0.42,0,0.1,0.21,0,0.1,0.31,1.14,0.1,0.1,0.1,0.31,0.73,0.42
22Month,0.14,1.64,0.82,7.52,0.27,0,0.14,0.14,1.37,3.01,445.89,21.04,1.09,0.27,4.65,0.27,0.68,3.42,4.65,0.14,0.96,0.82,0.14,0.55,0,0.55,0.27,1.5,0.41,0,0.14,0.55,1.23,0.14,0.27,0,0.82
