stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0,0,0,0.56,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0.74,0.74,0.37,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0.62,0.1,14.87,0,0.1,2.39,1.14,0,7.7,0.83,0.62,3.02,0.83,0.94,4.37,1.46,0.31,0,0.31,0.21,0,0.52,0.31,0.1,0.62,0.42,0.1,0.83,0.21,2.81
22Month,0.14,1.23,0,2.87,0.14,0.27,0.55,0.68,0.41,14.76,1.23,0.68,1.64,0,0.41,2.05,1.64,0.14,0.96,0.41,0,0,0.14,0.41,0,0,0.27,0,0.14,0,1.23
