stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0.85,0,0,0,0,0.85,0,0,0.28,0
21Day,0,1.85,0,0,0,0,1.11,0,0.37,0,0.37,0,0,0,0.74,0
3Month,0.1,2.29,0.1,0.83,0.1,0.21,1.66,0.1,1.25,0.21,1.04,0,0,0.83,0,0.1
22Month,0,0.27,0,2.32,0,0.27,0,0.14,0.68,0,0.14,0,0,0.27,0,0
