stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,3,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,16,0,0,0,0,0,0,0
72hpf,0,0,0.85,0.85,0,0,0,0,0,0,0,0,0.85,0,1.69,0,0,0,7.33,3.1,2.25,0,0,0.85,0,0,0
21Day,1.48,0.37,1.11,0,0.37,0.37,0,0,0,1.11,0,0.37,0.37,0,4.44,0,0,0,2.22,1.85,1.48,0,0,0.37,0.74,0,0
3Month,0,0.31,1.98,0,0,0.31,0,0.73,0.31,0.1,1.04,0.31,0.31,0.31,0.52,0.1,0.1,0.1,0.1,0,0.1,0,1.25,0,0,1.87,0.52
22Month,0,0.27,0.41,0,0,0.41,0,1.5,0.14,0,0.27,0,0,1.23,0,0.14,0.14,0,0,0,0,0.14,0.41,0,0,0,0.14
