stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0.85,0.28,2.82,0,0.28,1.69,62.29,3.66,0,0,0,1.41,0.28,0,0.85,0,0,0,0,0
21Day,0.74,0,1.85,0.37,0.74,0,0,0,0,0,0,0,1.11,0,0.37,1.11,0,3.33,0,0,1.85,38.48,0.74,1.85,0,0,0.37,1.11,0.37,0.74,0,0.37,0,0,0.37
3Month,0,0.42,6.66,0,0,0,0.1,0.1,1.35,0,1.77,1.56,0,1.35,0.21,7.7,1.66,1.25,0.21,0,0.42,2.6,0,1.98,0.21,0,0.1,0.42,6.24,0,0,0,0.31,6.66,1.35
22Month,0,0.41,1.09,0,0,0.14,0,0.14,1.64,0.41,7.93,0.27,0.14,1.23,0.14,0.68,0.96,1.91,0,0,0.27,2.19,0,1.09,0,0.14,0,0,7.93,0,0.14,0,0,0,0.27
