stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.13,3.38,0,0,0,0,0.28,0
21Day,0.37,0,1.48,0.37,0,0,0,0,0,0,0,1.85,11.84,0,0,0,0,0,0
3Month,0,0.42,3.12,0,0.31,0.21,0,1.77,0.31,0.21,0.31,0,0.1,0.52,0,0,0,0,0.21
22Month,0,0,5.06,0,0.14,0.68,0.14,2.73,1.91,0,0.14,0.14,29.93,0.14,0,0.14,0.14,0,0.14
