stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0
72hpf,0.56,0.28,0,0,0,0,0,0,0,0.28,0.56,0,0.28,28.18,3.38,0.28,1.41,0,0.85,0,0
21Day,0.74,0.74,1.11,0.37,0,0,0,0,1.11,0,0,0.37,2.59,7.4,2.22,0,1.48,0,0.37,0.37,0.74
3Month,0,0.1,0,0,0.1,0.1,0.31,0.42,0,0,0,0.1,0.21,0.1,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0,0,0.27,0.14,0,0,0,0,0.27,0,0,0,0,0.27,0,0,0.14
