stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,1,0,0,0,0,1,0,0,12,0,1,0,0,0,0,0
72hpf,0.85,0,0.85,0,0,0,0,0,0.28,0,0,2.82,1.41,0,0.85,0,0,0.85,0,0
21Day,0.74,0,1.11,0,0,0,0,0,1.11,0.37,0.37,1.85,0,0,0.74,0.37,0,0,0,0
3Month,0,0.21,0.52,0.1,0,0.21,0.1,0.31,0.52,0.52,0,0.1,0,0.1,0,0,3.33,0,0.1,4.26
22Month,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
