stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0.37,0.74,0.37,0.37,0,0,0,0.74,2.59,13.69,0,0.74,0,0,0,0.37,0.74,0.37,0,0,0
3Month,0,0.31,0,0,0.21,0.94,0.21,0,0.42,4.89,0.21,0,0.1,0,0,0,0,0,0.1,0.21,0.1
22Month,0,0.27,0,0,0.14,1.91,0,0,0.14,1.91,0,0.14,0,0.14,0.14,0,0,0,0,0,0
