stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,1,4,0,1,9,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.13,0,0.28,0,2.54,2.54,0,0.56,0,0,0,0
21Day,0,1.11,0.37,0,0,0,0.74,0,0.37,0,0,0,0,0.37,0.37,0,0.37,0,0.37,0,0.37
3Month,0,0.73,0,0.1,0,0.52,0.1,0.31,0.1,0.21,0.31,0.1,0.1,0,0,0.1,0,0.21,0.1,0.1,0
22Month,0.14,0,0,0,0.27,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
