stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.97,0.28,0,0,0,0,0,0,0,0,0,2.54,18.88,0,0,0,0,0,0,1.97,0.28,0,0.56,0,0,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0.74,30.71,0.74,0,0,0,0.37,0.37,0,0.37,0,0.74,1.11,21.09,0,0.74,0,0,0,0,2.96,0,0,0.74,0,1.11,0,0,0,0.37,0.37,0,0,0
3Month,0,0.52,2.91,126.69,0,0.73,0.1,0.1,5.2,1.14,0,5.93,1.25,37.76,11.65,4.47,1.04,1.77,0.52,0,0.73,0.73,1.77,0.31,0.31,5.3,0,0,0.83,1.77,0,0,0,0.83,1.04,1.14
22Month,0,0.96,2.46,43.45,0,0.55,0,0,3.83,1.5,0.41,13.25,0.55,34.57,2.19,0.82,0.68,1.78,0,0.82,0.27,0,0.27,0,0.55,0.55,0.14,0,0,1.91,0.14,0.27,0,0,0,0.55
