stage,Granulocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Retinal_cell,Retinal_cone_cell
24hpf,0,0,1,0,0,0
21Day,0,0,0,0.37,0.37,1.11
22Month,0.14,0.14,0,0.14,3.83,0
