stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0.28,0,0,3.95,3.66,0.28,0,0,0,1.69,1.41,0,0,0,0,0,0.28,0,0,0
21Day,0.74,0,0,2.22,0.37,0.74,0,0.37,0,0,0.37,0.37,0.37,0.74,0,1.48,0.74,1.11,0,0,0.37,0.74,1.48,0,1.11,1.11,0,0.74,0.37,0,0,0
3Month,0.1,0,0.21,1.98,0,0,0.1,0.1,0.62,0.52,5.82,2.29,0.1,1.66,0.21,0.94,1.87,1.14,0.21,0.21,0.21,0.1,0.1,0.21,0,0.21,0.1,7.7,0,0.1,0.31,1.98
22Month,0,0.14,0,0.27,0,0,0,0,0,0,2.32,0.14,0.14,0.14,0,0,0.41,0.27,0,0,0,0.14,0,0,0,0,0,0.14,0,0,0,0.41
