stage,Cardiomyocyte,Endothelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell,Oligodendrocyte
24hpf,1,0,0,0,0,1,1,0
72hpf,0.56,0,0,0,0,0,0.28,0
3Month,0,0,0.42,0.1,0.21,0,0,0
22Month,0,0.14,0.82,0,0,0,0,0.14
