stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,2,9,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
72hpf,0.28,1.97,0,1.13,0,0,0,0.28,0,0.28,3.38,0.28,0.56,0.28,0,3.95,2.82,0,0,0.56,0,0,0.85,0.28,1.41,0,0
21Day,0,2.59,0.37,0,0,0,0,0.37,0,0,0.74,0.37,1.11,0,0,2.59,0.74,0,0,0,0,0.37,1.11,0.37,2.22,0,0
3Month,0,1.04,0,0,0,0.1,0.1,0,0.1,0.31,0.1,0,0.21,0,0.1,0.1,0.1,0.21,0,0,0.21,2.91,0.21,0,0,0.31,0.21
22Month,0,0,0,0,0.14,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.96,0.41,0,0,0,0
