stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,1,0,1,0,0,0,3,0,0,0,0,1,1,0,6,0,0,0,0,3,28,0,1,0,0,0,0,0,0
72hpf,0,0,0.28,0,0.28,0.28,0,0,0,0,0,0,0,0.85,0.28,0,0.85,0,0.28,0,0,7.05,3.38,0,0.28,0,0,0,0,0,0
21Day,0,0,2.59,0.37,1.48,1.11,0,0.37,0,0,0,1.85,0,0.37,0.74,0,1.48,0,0,0,0,2.96,1.85,0,0.37,0,0.37,0,0,0,0.37
3Month,0,0,0.52,0,0,0,0.21,0,0,4.78,0.73,0,0.62,0.1,0.1,0.1,0.21,0.1,0,0.21,0.1,0,0,0.21,0,3.33,0,0,0.1,0.1,0.73
22Month,0,0.14,0.68,0,0,0,0,0.68,0,12.16,0.41,0,0.96,0,0.14,0.82,0,0,0.27,0,0,0,0,0,0.14,0.96,0,0.14,0,0,0.41
