stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,16,0,0,0,0,0,0,0
72hpf,0.28,0.28,1.13,0.28,0,0,0,0,0,0,0.28,0,0,0,0.28,0.28,2.54,0,0,0,0,2.25,4.51,5.92,0,0,0,0,0,0
21Day,0,0,5.55,1.85,0,0,0,0,0,0.37,0.74,0,0.37,0,0,0.37,2.22,0,0,2.96,0,0.37,1.11,5.92,0,0,0,0,0,0
3Month,0,0,1.35,0,0,0,0.1,0.21,0.52,0.1,1.87,0.1,0,0.1,0.73,0.21,2.39,0.52,0,0.21,0.21,0,0,0,0.21,3.64,0,0.31,0.42,0
22Month,0,0.14,0.82,0,0.14,0.14,0,0,0.68,1.5,4.65,0.27,0.14,0,0.14,0.68,2.05,0.14,0.27,0,0,0,0.14,0,0,1.23,0.14,0,0,0.41
