stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0
72hpf,1.13,0.56,0.56,0.56,0.56,0,0,0,0,0,0.28,0.28,0.28,0.56,0,0.56,0.28,0,3.38,1.97,0.28,1.13,0,0,0,0,0
21Day,1.85,0.37,4.07,0,7.4,0,1.11,0,0.74,1.48,0.37,0,0.37,2.96,0,0,0.74,0.37,1.48,2.59,0.37,0.74,0.74,0,0,0,0.37
3Month,0,0,1.46,0,0,0.52,3.64,0.1,0,0.73,0.21,0.52,0.42,0.52,0.1,0,0.1,0.1,0.1,0,0,0,0.42,0.73,0.21,0.31,0
22Month,0,0,0.41,0,0,0.68,3.28,0,0.27,0.96,0,0,0.68,0.14,0,0.14,0.14,0,0,0,0,0,0,0.41,0,0,0
