stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,1,1,0,1,7,1,0,0,0,0
72hpf,0.28,0.28,0,0,0,0,1.41,0,0,0,2.25,1.13,1.13,0,0.28,0,0
21Day,0,0,0.37,0,0,0,0.37,0,1.11,0,0,0,0.74,0,0,0,0
3Month,0,0.21,0.21,0,0.1,0.21,0.42,0.21,0,0.1,0.1,0,0,0.31,0,0.42,0.1
22Month,0,0,0.14,0.14,0.27,0,0,0,0.14,0,0,0,0,0.41,0,0,0
