stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0
21Day,0,0,0.37,0,0,0,0,0.37,0,0,0,0,1.11,0,0,0,0,0.37
3Month,0,0.1,0,0.1,0.1,0.42,0.1,0.1,0,0.1,0.21,0,0,0,0,0,0,0
22Month,0.14,0.41,0,0,0,1.37,0,0,0.41,0,0.27,0.14,0,0,0.14,0.27,0,0
