stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12,0,0,5,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,6,0,0,1,0,0,0,0,0,0,0,0
72hpf,5.36,0.85,0,1.13,0.28,0,0,0,0,0,0,0,0,0,2.25,0.28,1.13,0,0.56,1.69,0,0,1.13,0,0,0,0,0,0,0,0
21Day,10.36,0,0,8.14,0,0.37,0,0,0,0,0,0,0.37,0,6.66,0,4.07,3.33,1.11,0,0,0,1.48,0.74,0,0,0.37,0.37,0,0,0
3Month,0.1,0.1,0,2.5,0,0,0.1,0.1,0,1.35,0.21,0,1.35,0.21,1.35,0.21,0.83,0.21,0,0,0.1,0.31,0,0,0.73,0,0,0,0.21,0.52,0.21
22Month,0,0,0.14,0.14,0,0,0,0.27,0.14,0.96,0,0.14,0.14,0,0.14,0.14,0.82,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.14
