stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,4.51,1.69,0.28,0.28,0,0,3.66,0.28,0.28,0
21Day,0,0,0.74,0,0,0,0,0,1.11,0,0,2.96,0.74,0.37,0,0.37,0,0,1.11,0.37,0
3Month,0,0,0.73,0,0,0.52,0.31,0.31,0.1,0,0,0,0,0.21,0.1,0,0.21,0,0,0,2.91
22Month,0,0,0,0.14,0.14,1.09,0,0,0.14,0.27,0.27,0.14,0,0,0,0,0,0,0,0,0
