stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4,5,10,0,0,2,0,0,0,0,1,9,8,27,4,222,0,0,2,0,0,0,0,0,0
72hpf,0.56,0.85,1.97,0.28,0,0,0,0,0,0,1.69,1.69,0.28,0.28,4.79,5.64,0,0.28,1.41,0.28,0,1.13,0.28,0,0
21Day,0.74,0.37,1.85,0,0.74,0,0.37,0,0.37,0,0,0,0.74,1.48,1.48,1.48,0,0.74,0.37,0.74,0.37,0,0,0,0.74
3Month,0,0,0.42,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0,2.29,0,0,0.21,0
