stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_progenitor_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
72hpf,0,0.28,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,1.13,0.56,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0.74,0,0.37,0,0,0,0,0,0,0.74,0,0.74
3Month,0,4.99,0,0.1,0.21,0.52,0.1,0,0.42,0.73,0.1,0,0.21,0.1,0,0.42,0,0,0,0.31,0.42
22Month,0.14,1.5,0,0,0,15.17,0,0.14,0.41,0,0,0,0,0,0.27,0,0,0.14,0,0,0.41
