stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,1,1,0,11,0,1,55,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0.28,0.28,0.28,0,2.82,0,0.28,0.56,0,0.28,0
21Day,0,0,0,0,0,0,0.37,0,0,3.7,0.74,0,0,0,0,0
3Month,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1
22Month,0,0,0,0.41,0,0,0,0,0.14,0,0,0,0,0,0,0
