stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0,0.56,0,0,0,0,17.47,1.13,0,0.56,0,0,0,0.28,0,0,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0,0,0.37,0,0,0,0.37,1.85,0,0,0,0,32.19,0.37,0,0,0,0,0.37,0,0.37,0,0,0.37
3Month,0,0.1,0,0.52,0,0,0,0.31,0,1.04,0.1,0.1,0.42,0.21,0.21,0.73,0.52,0.21,0,0.21,0.1,0.94,0,0.21,0,0,0,0,0,0,0.1,0.1,0
22Month,0,0,0.14,0.41,0,0,0.14,0.41,0.14,3.96,0.14,0,0.14,0,0.14,0.41,0.27,0,0.27,0.14,0,1.09,0,0.27,0.14,0.14,0.27,0,0,0,0,0,0.14
