stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0
21Day,0,0,0,0,0,0,0,0,0.37,0,0,0,0.37
3Month,0,0.21,0.1,0,0.31,0,0.1,0,0,0,0,0,0.1
22Month,0.14,0,0.41,0.27,2.87,0.55,0,0.14,0.41,0.14,0.14,0,0
