stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0.28,0,0,0,0
21Day,0.37,0,0.74,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0,0
3Month,0,0,0.52,1.04,0.1,0.31,0.21,0,12.38,0.21,0.62,0.21,0.31,0.21,0.42,0.1,0.21,0.1,1.35,0,0,0,0,5.3,0,0.62,0.1
22Month,0,0.27,0,0.14,0,0,0.27,0,6.7,0,0.96,0,0,0.14,0.14,0.14,0.41,0,0.14,0,0,0.27,0,1.09,0.14,0,0.41
