stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,2,0,0,0,0,0,3,1,14,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0.28,0.56,0.85,2.54,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0.74,0.74,0,0,0.37,0,0
3Month,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,1.87,0,0.21
22Month,0,0,0,0,0.14,0.96,1.64,0,0.27,0,0,0,0.41,0.14,0
