stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,29.59,0.28,0,0,0.28,0,0,0,0,0,0,0,0.56,0.28,0.85,0,0.28,5.36,1.41,0,0.85,0,0,0.85,0,0,0,0
21Day,22.94,0,2.59,0.37,1.11,0,0.37,0,0,0.74,0,0,1.11,0.74,1.48,0,0,2.22,0.74,0,0,0.37,0,0,0.37,0,0,0
3Month,2.08,0.21,0.94,0,0,0.1,0.1,0.94,0.1,0,0.52,0,0.21,0.21,0.21,0.1,0,0.1,0,0,0.1,0.1,8.01,0,0,0.1,0.83,0.21
22Month,0.14,0.14,0.55,0,0,0.14,0.27,1.91,0.27,0.14,0.14,0.14,0.27,0.55,0,0,0,0,0,0.41,0,0,4.1,0.14,0,0,0,0.14
