stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
21Day,0,5.55,0,0,0,0,0,0.37,0.74,0,0.74,0,0,0,0,0.74,0.37,0,0,0.37,0,0,0,0,0
3Month,0.1,6.03,0,0.42,0.31,0.31,0,0,0.21,0.52,0.42,0.42,0.31,0.1,0,15.91,0,0.1,0,0,0.1,8.53,0.1,0.31,6.66
22Month,0.14,6.01,0.14,0.14,0.14,3.42,0.14,0.14,0.96,0.14,0.27,0.14,0.55,0.14,0.27,10.93,0.27,0,0.14,0,0,1.5,0,0,0
