stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,9,27,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,1.13,0,0,0.28,0,0,0.28,0.56,0.28,0,0,0,0,0,0.28,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0.37,1.11,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0.21,4.26,2.29,0,0.21,5.93,2.7,0,14.35,3.43,0,57.73,0.31,0.62,2.18,0.94,0.21,0.42,0.83,0.1,0,3.22,0.1,0.1,1.04,0.62,0,0.1,0.42,1.14
22Month,0.14,2.87,1.09,0,0,2.19,1.09,0.27,5.6,0.41,0,47.96,0,0.27,1.23,0.27,0,0.27,0,0,0,1.5,0.27,0,0,0.27,0,0,0,0.14
