stage,Granulocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,3,1,0
72hpf,0,0,0,0,1.41,0,0
21Day,0,0,0.37,0,1.11,0,0
3Month,0,0.31,0,0,0.83,0,0.1
22Month,0.41,0.14,0,0.14,2.73,0,0
