stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,2.54,1.41,0,0,0,0,0,0,0,3.38,0,1.41,0,0,3.95,0,0,0.56,0,0,0.56,0,0,0,0
21Day,0,0,0.74,1.48,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0
3Month,0.1,0,2.29,1.98,0,0.42,1.04,0,1.77,1.56,0.42,0.83,0.62,0.21,0.73,0.42,0.21,0.1,0.31,0,0,0.1,15.39,0,0.1,0.21,8.01,0.21
22Month,0,0.14,0.27,0.14,0,0.14,0.27,0.14,0.41,0,0,0,0.27,0.27,0.14,0,0,0,0,0,0,0,1.23,0,0,0,0,0
