stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,1.69,1.69,1.41,0,0,0.28,0,0,0,0,0,0.28,94.14,0.85,1.97,0,0,0,7.89,5.64,0,0,1.97,0.28,0,0.85,0,0,0,0,0
21Day,1.11,0,0,6.29,0,2.22,0.74,0.37,0.37,0,0.74,0,0.37,1.48,0,103.23,1.11,2.96,0,0,0,2.59,1.85,0,0,1.48,0.74,0,0,0,0.37,0,0,0.74
3Month,0,0.21,0.1,3.12,0.21,0,0,0.21,0.42,0,3.12,0.52,0,0.62,0.21,17.68,0.42,0.1,0.1,0.1,0.21,0,0.1,0,0,0.1,0.42,0.73,0,0,0,0.1,0.1,0.62
22Month,0,0.55,0.14,1.09,0,0,0,0.14,1.5,0.27,6.83,0.41,0,0.82,0.14,19.54,0.55,0.82,0,0.14,0.14,0,0,0.27,0.14,0,0,0,0,0.14,0,0.14,0,0.27
