stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0
3Month,0,0.1,0,0,0.21,0,0.83,0.21,0.1,0,0.1,0.42,0.21,0,0.1,0.1,0.1,0.1
22Month,0.14,0.41,0.27,0.27,1.09,0.14,5.88,0.68,0,2.6,0,0.27,0.27,0.14,0,0,0,0.27
