stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,13,0,0,0,0,0,0
72hpf,0.28,0.85,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,2.82,0,17.47,0,0,0.28,1.41,1.41,13.81,0,0,0.28,0,0
21Day,2.22,2.59,0,1.11,0,0.74,0,0,0,0,0,0,0,0.37,0,0.74,0,31.08,0,0,3.7,1.48,0.74,18.5,1.48,0,0.37,0,0.37
3Month,0,8.11,0.1,1.98,0,0,0,0.31,0.21,0,2.39,0.52,0,1.14,0.1,0.83,0.94,8.95,1.04,0,0.21,0.1,0.21,0.21,0,0.31,0.1,0.31,0.42
22Month,0,27.47,0.14,1.09,0,0,0.14,0,0.55,0.27,7.93,0.27,0.14,0.41,0,0.14,0.27,5.6,0.14,0.41,0.68,0.14,0,0,0,0.41,0.14,0,0
